attendance,away_score,away_team,date,home_score,home_team,margin,round,season,umpires,url,venue
33213,94,Geelong,"Sun, 21-Jun-2009 2:40 PM (4:40 PM)",75,Fremantle,-19,12,2009,"Brett Rosebury (160), Stefan Grun (74), Todd Keating (19)",http://afltables.com/afl/stats/games/2009/080920090621.html,Subiaco
83407,67,Carlton,"Fri, 26-Jun-2009 7:40 PM",136,Essendon,69,13,2009,"Stephen McBurney (300), Matt Stevic (109), Stuart Wenn (240)",http://afltables.com/afl/stats/games/2009/030520090626.html,M.C.G.
44114,85,Fremantle,"Sat, 27-Jun-2009 2:10 PM",169,Collingwood,84,13,2009,"Michael Vozzo (227), Heath Ryan (25), Justin Schmitt (184)",http://afltables.com/afl/stats/games/2009/040820090627.html,M.C.G.
38064,69,Sydney,"Sat, 27-Jun-2009 2:40 PM (3:10 PM)",85,Adelaide,16,13,2009,"Hayden Kennedy (449), Scott McLaren (334), Mathew Nicholls (97)",http://afltables.com/afl/stats/games/2009/011620090627.html,Football Park
23750,56,Melbourne,"Sat, 27-Jun-2009 7:10 PM",111,Brisbane Lions,55,13,2009,"Chris Donlon (79), Sam Hay (9), Scott Jeffery (154)",http://afltables.com/afl/stats/games/2009/111920090627.html,Gabba
31441,87,Hawthorn,"Sat, 27-Jun-2009 5:40 PM (7:40 PM)",107,West Coast,20,13,2009,"Craig Hendrie (64), Shaun Ryan (148), Troy Pannell (45)",http://afltables.com/afl/stats/games/2009/101820090627.html,Subiaco
21142,88,Port Adelaide,"Sun, 28-Jun-2009 1:10 PM",122,Geelong,34,13,2009,"Dean Margetts (117), Brett Rosebury (161), Jacob Mollison (19)",http://afltables.com/afl/stats/games/2009/091320090628.html,Kardinia Park
31470,108,Western Bulldogs,"Sun, 28-Jun-2009 2:10 PM",86,North Melbourne,-22,13,2009,"Ray Chamberlain (100), Simon Meredith (102), Rob Findlay (8)",http://afltables.com/afl/stats/games/2009/071220090628.html,M.C.G.
38196,36,Richmond,"Sun, 28-Jun-2009 4:40 PM",92,St Kilda,56,13,2009,"Stefan Grun (75), Chris Kamolins (57), Michael Avon (158)",http://afltables.com/afl/stats/games/2009/141520090628.html,Docklands
77699,67,Essendon,"Fri, 3-Jul-2009 7:40 PM",102,Collingwood,35,14,2009,"Hayden Kennedy (450), Simon Meredith (103), Shaun Ryan (149)",http://afltables.com/afl/stats/games/2009/040520090703.html,M.C.G.
